typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,0,W00,World,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,51424210.58,True,8,kg,51421860.0,False,51424210.58,True,0.0,False,1183559072.0,0.0,1183559072.0,6,False,True
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,484,MEX,Mexico,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,559.0,False,8,kg,559.0,False,559.0,False,0.0,False,7219.0,0.0,7219.0,0,True,False
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,490,S19,"Other Asia, nes",0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,571440.0,False,8,kg,571440.0,False,571440.0,False,0.0,False,3754187.0,0.0,3754187.0,0,True,False
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,528,NLD,Netherlands,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,82.77,True,8,kg,0.0,False,82.77,True,0.0,False,1905.0,0.0,1905.0,6,True,False
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,608,PHL,Philippines,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,141878.0,False,8,kg,141878.0,False,141878.0,False,0.0,False,24265085.0,0.0,24265085.0,0,True,False
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,643,RUS,Russian Federation,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,733.633,True,8,kg,0.0,False,733.633,True,0.0,False,16885.0,0.0,16885.0,6,True,False
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,699,IND,India,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,360.341,True,8,kg,350.0,False,360.341,True,0.0,False,102454.0,0.0,102454.0,6,True,False
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,703,SVK,Slovakia,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1.695,True,8,kg,0.0,False,1.695,True,0.0,False,39.0,0.0,39.0,6,True,False
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,704,VNM,Viet Nam,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,581800.0,False,8,kg,581800.0,False,581800.0,False,0.0,False,1470264.0,0.0,1470264.0,0,True,False
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,705,SVN,Slovenia,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,25.0,False,8,kg,25.0,False,25.0,False,0.0,False,106.0,0.0,106.0,0,True,False
C,A,20190101,2019,52,2019,156,CHN,China,M,Import,724,ESP,Spain,0,W00,World,H5,HS,True,284290,"Salts; of inorganic acids or peroxoacids, other than double or complex silicates, including aluminosilicates, whether or not chemically, excluding azides",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,60043.855,True,8,kg,60022.0,False,60043.855,True,0.0,False,195995.0,0.0,195995.0,6,True,False
