reporterCode,cmdCode,status,rows,file,message,checked_at
72,282010,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_72\72_282010_M_2019_partners.csv,,2026-07-15T20:51:23
72,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_72\72_282090_M_2019_partners.csv,,2026-07-15T20:51:23
72,811100,no_data,0,,,2026-07-15T20:51:23
92,260200,no_data,0,,,2026-07-15T20:51:23
92,282010,no_data,0,,,2026-07-15T20:51:23
92,282090,no_data,0,,,2026-07-15T20:51:23
92,811100,no_data,0,,,2026-07-15T20:51:23
76,260200,downloaded,7,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_76\76_260200_M_2019_partners.csv,,2026-07-15T20:51:23
76,282010,downloaded,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_76\76_282010_M_2019_partners.csv,,2026-07-15T20:51:23
76,282090,downloaded,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_76\76_282090_M_2019_partners.csv,,2026-07-15T20:51:23
76,811100,downloaded,9,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_76\76_811100_M_2019_partners.csv,,2026-07-15T20:51:23
96,260200,no_data,0,,,2026-07-15T20:51:23
96,282010,no_data,0,,,2026-07-15T20:51:23
96,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_96\96_282090_M_2019_partners.csv,,2026-07-15T20:51:23
96,811100,no_data,0,,,2026-07-15T20:51:23
100,260200,downloaded,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_100\100_260200_M_2019_partners.csv,,2026-07-15T20:51:23
100,282010,no_data,0,,,2026-07-15T20:51:23
100,282090,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_100\100_282090_M_2019_partners.csv,,2026-07-15T20:51:23
100,811100,downloaded,6,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_100\100_811100_M_2019_partners.csv,,2026-07-15T20:51:23
854,260200,no_data,0,,,2026-07-15T20:51:23
854,282010,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_854\854_282010_M_2019_partners.csv,,2026-07-15T20:51:23
854,282090,no_data,0,,,2026-07-15T20:51:23
854,811100,no_data,0,,,2026-07-15T20:51:23
108,260200,no_data,0,,,2026-07-15T20:51:23
108,282010,no_data,0,,,2026-07-15T20:51:23
108,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_108\108_282090_M_2019_partners.csv,,2026-07-15T20:51:23
108,811100,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_108\108_811100_M_2019_partners.csv,,2026-07-15T20:51:23
132,260200,no_data,0,,,2026-07-15T20:51:23
132,282010,no_data,0,,,2026-07-15T20:51:23
132,282090,no_data,0,,,2026-07-15T20:51:23
132,811100,no_data,0,,,2026-07-15T20:51:23
116,260200,no_data,0,,,2026-07-15T20:51:23
116,282010,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_116\116_282010_M_2019_partners.csv,,2026-07-15T20:51:23
